ticker,company,fiscal_year,fiscal_period,period_end,form_type,filed_date,cash,financing_cash_flow,interest_expense,investing_cash_flow,long_term_debt,net_income,operating_cash_flow,operating_expenses,revenue,stockholders_equity,tax_expense,total_assets,total_liabilities,days_to_file,late_filing,revenue_yoy_pct,net_income_yoy_pct,operating_expenses_yoy_pct,total_assets_yoy_pct,profit_margin,debt_to_equity,cash_ratio,expense_ratio,expense_ratio_zscore,materiality_score,profit_margin_vs_peers
USB,US BANCORP DE,2021.0,Q3,2020-09-30,10-Q,2021-11-02,,,346000000.0,,,1580000000.0,,,,,347000000.0,,,398,1,0.0,34.93,,-0.44999999999999996,,,,,,20,
USB,US BANCORP DE,2021.0,FY,2020-12-31,10-K,2022-02-22,,,,,41297000000.0,,,,,53095000000.0,,553905000000.0,500180000000.0,418,1,0.0,34.93,,1.3299999999999998,,0.7778,,,,20,
USB,US BANCORP DE,2022.0,FY,2020-12-31,10-K,2023-02-27,,51899000000.0,2015000000.0,-15440000000.0,,4959000000.0,3716000000.0,,,,1066000000.0,,,788,1,0.0,619.74,,1.3299999999999998,,,,,,20,
USB,US BANCORP DE,2021.0,Q1,2021-03-31,10-Q,2021-05-04,,,,,37419000000.0,,,,,51678000000.0,,553375000000.0,501067000000.0,34,0,0.0,619.74,,2.39,,0.7241,,,,0,
USB,US BANCORP DE,2022.0,Q1,2021-03-31,10-Q,2022-05-03,,-550000000.0,278000000.0,-19466000000.0,,2280000000.0,937000000.0,,,,607000000.0,,,398,1,0.0,44.3,,2.39,,,,,,20,
USB,US BANCORP DE,2021.0,Q2,2021-06-30,10-Q,2021-08-03,,,,,36360000000.0,,,,,53039000000.0,,558886000000.0,505212000000.0,34,0,0.0,44.3,,0.8999999999999999,,0.6855,,,,0,
USB,US BANCORP DE,2022.0,Q2,2021-06-30,10-Q,2022-08-04,,,245000000.0,,,1982000000.0,,,,,551000000.0,,,400,1,0.0,-60.029999999999994,,0.8999999999999999,,,,,,20,
USB,US BANCORP DE,2021.0,Q3,2021-09-30,10-Q,2021-11-02,,,,,35671000000.0,,,,,53743000000.0,,567495000000.0,513117000000.0,33,0,0.0,-60.029999999999994,,2.55,,0.6637,,,,0,
USB,US BANCORP DE,2022.0,Q3,2021-09-30,10-Q,2022-11-01,,,238000000.0,,,2028000000.0,,,,,564000000.0,,,397,1,0.0,-11.05,,2.55,,,,,,20,
USB,US BANCORP DE,2022.0,FY,2021-12-31,10-K,2023-02-27,,,,,32125000000.0,,,,,54918000000.0,,573284000000.0,517897000000.0,423,1,0.0,-11.05,,2.58,,0.585,,,,20,
USB,US BANCORP DE,2023.0,FY,2021-12-31,10-K,2024-02-20,,13942000000.0,993000000.0,-57487000000.0,,7963000000.0,9870000000.0,,,,2181000000.0,,,781,1,0.0,301.77,,2.58,,,,,,20,
